experiment_id,method,model,dataset,split,seed,client_count,dirichlet_alpha,topology,round,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,mcc,loss,consensus_error,communication_bytes,latency_ms,memory_mb,model_size_mb,encryption_latency_ms,decryption_latency_ms,timestamp
EXP_BASELINE_001,Local-Only,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,42.0,60.0,0.5,small_world,10.0,0.828387379136227,0.838387379136227,0.8568173073343438,0.8568173073343438,0.7881662677407373,0.8571018311875027,0.8913973976911665,0.8769525420798063,0.6459983770008602,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_002,Local-Only,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,43.0,60.0,0.5,small_world,10.0,0.8254374398107271,0.8354374398107272,0.8702034101247659,0.8702034101247659,0.7771619273011313,0.8589773066702423,0.8834510219328784,0.8689798408778839,0.6525239248245043,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_003,Local-Only,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,44.0,60.0,0.5,small_world,10.0,0.8337051665606918,0.8437051665606918,0.8615364238470302,0.8615364238470302,0.779702072830657,0.8553004124843783,0.8806959428626057,0.8657929837013771,0.6550109682804385,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_004,Local-Only,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,45.0,60.0,0.5,small_world,10.0,0.8281327737121775,0.8381327737121775,0.8634387767763295,0.8634387767763295,0.7831194469693107,0.85809605434032,0.8917419534412857,0.8753673610833825,0.655087847451806,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_005,Local-Only,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,46.0,60.0,0.5,small_world,10.0,0.8403376748965937,0.8503376748965937,0.8675523930117873,0.8675523930117873,0.7850718601677662,0.8623110432491854,0.8912864103767834,0.875228141352333,0.65224185607584,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_001,Centralized,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,42.0,1.0,0.5,N/A,10.0,0.8966708576370558,0.9066708576370558,0.9302490021094209,0.9302490021094209,0.8772467717572813,0.925669427264922,0.9525308819227716,0.9385558655464681,0.7966663562350138,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_002,Centralized,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,43.0,1.0,0.5,N/A,10.0,0.9074586609230054,0.9174586609230054,0.9196356952235536,0.9196356952235536,0.8771277245056887,0.9098415322967494,0.9537353953562298,0.9452837475495606,0.7944692713057822,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_003,Centralized,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,44.0,1.0,0.5,N/A,10.0,0.9062312275308304,0.9162312275308304,0.9304711407253451,0.9304711407253451,0.8750652105167532,0.9270859481839431,0.9488348730142977,0.9377999065424611,0.7973150099067782,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_004,Centralized,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,45.0,1.0,0.5,N/A,10.0,0.8979149982129371,0.9079149982129371,0.9192067449655688,0.9192067449655688,0.8763503685177739,0.9227496430542905,0.9480662324674146,0.9440545887165225,0.8025009999180036,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_005,Centralized,DenseNet-151 + Visual Pipeline,Kaggle Chest X-ray,test,46.0,1.0,0.5,N/A,10.0,0.9088554883475386,0.9188554883475386,0.9188948211334553,0.9188948211334553,0.8689014539148253,0.919312652586766,0.946580713734061,0.945207383272739,0.8118800178221258,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_001,FedAvg,HydroFedMultimodalModel,Kaggle Chest X-ray,test,42.0,60.0,0.5,small_world,10.0,0.8820494628221043,0.8920494628221043,0.9110712719204186,0.9110712719204186,0.8550929003271229,0.9078516310500541,0.9319065984052862,0.9268472846307392,0.7679656408155098,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_002,FedAvg,HydroFedMultimodalModel,Kaggle Chest X-ray,test,43.0,60.0,0.5,small_world,10.0,0.883807732799445,0.893807732799445,0.9091161267985758,0.9091161267985758,0.8466187325420856,0.8968442990010861,0.9359653611090074,0.9202056551474108,0.7532952080441705,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_003,FedAvg,HydroFedMultimodalModel,Kaggle Chest X-ray,test,44.0,60.0,0.5,small_world,10.0,0.8863744797108184,0.8963744797108184,0.9081709375053096,0.9081709375053096,0.8414457678050228,0.8936453250541435,0.9333306630032754,0.9256364569271531,0.765497061047645,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_004,FedAvg,HydroFedMultimodalModel,Kaggle Chest X-ray,test,45.0,60.0,0.5,small_world,10.0,0.885755878423607,0.895755878423607,0.9065983657399697,0.9065983657399697,0.8450160362308471,0.8920747199349247,0.929083367735445,0.9167107857816752,0.7649504787788929,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_005,FedAvg,HydroFedMultimodalModel,Kaggle Chest X-ray,test,46.0,60.0,0.5,small_world,10.0,0.8920223308019846,0.9020223308019846,0.9101545586243227,0.9101545586243227,0.8425124605933981,0.9064228069210136,0.9265824685051025,0.9189176255642357,0.7649668661167167,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_001,FedProx,HydroFedMultimodalModel,Kaggle Chest X-ray,test,42.0,60.0,0.5,small_world,10.0,0.8959459419973558,0.9059459419973558,0.9143006255385269,0.9143006255385269,0.8491110427969452,0.9074508586297821,0.9425867496071306,0.9252004038513791,0.7730513163920247,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_002,FedProx,HydroFedMultimodalModel,Kaggle Chest X-ray,test,43.0,60.0,0.5,small_world,10.0,0.8893480252641767,0.8993480252641767,0.9107017374522823,0.9107017374522823,0.8578127229928404,0.9039514926531057,0.9478763704851801,0.9279649079135985,0.7683710306727894,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_003,FedProx,HydroFedMultimodalModel,Kaggle Chest X-ray,test,44.0,60.0,0.5,small_world,10.0,0.8954470804543649,0.905447080454365,0.9120117354585733,0.9120117354585733,0.8539855062303999,0.9060364222759985,0.9376916754595438,0.9279855506277465,0.7756551842592114,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_004,FedProx,HydroFedMultimodalModel,Kaggle Chest X-ray,test,45.0,60.0,0.5,small_world,10.0,0.88655802452179,0.89655802452179,0.909121911404513,0.909121911404513,0.8563559598833959,0.9018149771144054,0.9423197107136351,0.9274627515296363,0.7716921138554783,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_005,FedProx,HydroFedMultimodalModel,Kaggle Chest X-ray,test,46.0,60.0,0.5,small_world,10.0,0.895254644478867,0.905254644478867,0.9086036235877397,0.9086036235877397,0.8531440059635667,0.910846941775452,0.9373366329487642,0.9264445059024046,0.7686041808813074,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_001,Gossip,HydroFedMultimodalModel,Kaggle Chest X-ray,test,42.0,60.0,0.5,small_world,10.0,0.8507583379949187,0.8607583379949187,0.8755845135145005,0.8755845135145005,0.8065990012441779,0.8820460003117278,0.9064042519104664,0.8941535630543945,0.6977784859105646,,,,,,,,,2026-08-26T11:53:56.427938
EXP_BASELINE_002,Gossip,HydroFedMultimodalModel,Kaggle Chest X-ray,test,43.0,60.0,0.5,small_world,10.0,0.8532454589436327,0.8632454589436327,0.8811376976285376,0.8811376976285376,0.803469046851345,0.873586306751156,0.9074728575299614,0.8859006701022554,0.6966107049249098,,,,,,,,,2026-08-26T11:53:56.427938
