epoch,train_loss_densenet,val_loss_densenet,train_acc_densenet,val_acc_densenet,train_loss_hydrofed,val_loss_hydrofed,train_acc_hydrofed,val_acc_hydrofed
1,0.6530471707975444,0.7196001589375951,0.6,0.58,0.6075045119580645,0.6594056471639121,0.65,0.62
2,0.46798964811346166,0.5809782049313769,0.696,0.6499999999999999,0.4212784040316728,0.4767375740765642,0.755,0.704
3,0.36545698842495716,0.4766695607242643,0.7632,0.7025,0.3027939797486282,0.36350491935428947,0.82325,0.7628
4,0.27487905697561216,0.4094324120696804,0.81024,0.741875,0.2104750934225204,0.2564877853711676,0.8676125,0.80396
5,0.209351570340825,0.31893917399171007,0.843168,0.77140625,0.1528445030130727,0.19840965919013742,0.896448125,0.8327720000000001
6,0.15239942323954742,0.26601310455596067,0.8662175999999999,0.7935546874999999,0.11306741338674026,0.14905821553831197,0.91519128125,0.8529404
7,0.11140275693461893,0.22473658449511777,0.88235232,0.810166015625,0.07591249185553346,0.11899500320571078,0.9273743328125,0.86705828
8,0.09089185248314738,0.19691454603007888,0.8936466240000001,0.82262451171875,0.0708290560087046,0.08553446050646493,0.935293316328125,0.876940796
9,0.05995096748467526,0.1559473415175213,0.9015526368,0.8319683837890625,0.04074860022575494,0.08209670871653602,0.9404406556132813,0.8838585572
10,0.047665571504994224,0.13286649027037478,0.90708684576,0.8389762878417968,0.015967352043087593,0.0635950275044558,0.9437864261486328,0.88870099004
